text,timestamp,our_model,vader
RT @katienolan: pretty crazy that not being in a car for like 7 months makes every uber ride feel like tokyo drift,1603835027.0,1,0.7003
RT @MNateShyamalan: my pandemic depression and my seasonal depression teaming up to order uber eats every day for 4 months https://t.co/JyX…,1603835025.0,-1,-0.8126
RT @LilNasX: i overheard my uber driver and his wife being sad about having trouble having kids so i left my nephew in the car. i love doin…,1603835024.0,-1,-0.1531
"RT @GatorsDaily: hi its me your uber eats driver.

i accidentally ate your food on the way here https://t.co/69T3YBlxIt",1603835023.0,-1,-0.3947
RT @LilNasX: i overheard my uber driver and his wife being sad about having trouble having kids so i left my nephew in the car. i love doin…,1603835016.0,-1,-0.1531
"Please, make a note of it. Don't get this one wrong, know how to say his name. Better still, don't correct people w… https://t.co/amn5LtpTjB",1603835015.0,1,0.2732
"RT @GatorsDaily: hi its me your uber eats driver.

i accidentally ate your food on the way here https://t.co/69T3YBlxIt",1603835013.0,-1,-0.3947
RT @LilNasX: i overheard my uber driver and his wife being sad about having trouble having kids so i left my nephew in the car. i love doin…,1603835013.0,-1,-0.1531
@vincentduluc « Ligue one uber eats » ?,1603835011.0,1,0.0
"@justbreek I know at the airports in Chicago, the Uber drivers are staged offsite waiting for arrivals. They usuall… https://t.co/DUqMWfkdXG",1603835011.0,1,0.0
"@LBD_Nytetrayn Here to explain. Restaurant partners have full control over their menu on Uber Eats, and prices and… https://t.co/NgbyVzla61",1603835010.0,1,0.0
"RT @Adrienne_Pan: For me... I've ridden in a helicopter over a forest fire, in gigantic oilfield equipment, and in a Tesla Uber!
What about…",1603835005.0,1,-0.4003
RT @Rachel_Sennott: secret Uber is when u get into the Uber and tell ur friends ur going home but ur actually going to a guy’s house and it…,1603835004.0,-1,0.2617
"RT @adamconover: Another piece of misinfo: Uber &amp; Lyft's ads imply that unless Prop 22 passes, they will have to give all drivers regular,…",1603835003.0,1,0.0
My Uber driver deaf &amp; he tryna talk to me and iont understand em 🤦🏾‍♂️ I need to learn sourness language... No Bs,1603835000.0,1,-0.296
RT @alexb_man: @Uber_Support  I've tried everything but cant get my Uber Eats voucher to work. What am I doing wrong? https://t.co/LC2z3IYs…,1603835000.0,1,-0.631
RT @CQHndrxx: If future said my fat friend can’t come in the club then I’ll pitch in for her Uber.,1603834994.0,1,0.4939
secret Uber is when u get into the Uber and tell ur friends ur going home but ur actually going to a guy’s house an… https://t.co/HISTWFnTW1,1603834991.0,-1,0.2617
