text,timestamp,our_model,vader
Tesla FSD Beta breezes through parking lot torture test https://t.co/UtXMJNeV6w,1603835009.0,-1,-0.5994
RT @kimpaquette: Slowing got speed bumps! #FSDBeta #FSD #Tesla #model3 https://t.co/PNSbGOAUPm,1603835007.0,-1,0.0
"RT @Adrienne_Pan: For me... I've ridden in a helicopter over a forest fire, in gigantic oilfield equipment, and in a Tesla Uber!
What about…",1603835005.0,1,-0.4003
"RT @sandeeprrao1991: Will Tesla, Apple help India rewrite 2021 manufacturing story? | freepressjournal https://t.co/ElkcM1rpWe",1603834999.0,1,0.4019
RT @mrburns4mayor: @it_iz_JB Facts! 😂😂😂😂 I heard that if you miss a payment on Tesla it’ll drive back to the dealership on you,1603834997.0,1,-0.2244
@Gizmodo So sending them @Tesla ‘s makes more sense?,1603834985.0,1,0.0
"RT @thedrive: Tesla's ""Full Self Driving"" update was sent out to an unknown number of beta testers a few days ago, and videos showing the s…",1603834976.0,-1,0.0772
"This would be far more effortless and profound in terms of training the system!
What are your thoughts 🤔… https://t.co/tYdvPRkeeP",1603834972.0,-1,0.0
@EsotericExposal Somehow i think Tesla didn't care and he'd do it again without remorse.,1603834971.0,1,-0.2057
Wait do you have a home now or just the Tesla ?😳 https://t.co/qF99YoXmZ4,1603834959.0,-1,0.0
RT @ElonMuskNewsOrg: Tesla mysteriously removes regenerative braking strength option in new cars  https://t.co/bLYbotHfDL,1603834952.0,-1,0.4939
@TheBoiSantana About the new Tesla microwave,1603834945.0,1,0.0
Tesla Moves Into UK Homes With New Solar Power Tariff https://t.co/xAG2LG7FjL,1603834934.0,-1,0.0
not me going 90 in a 35 to catch up w a tesla 🤯🤩,1603834931.0,1,0.0
RT @MAstronomers: These gases glow up near a Tesla coil. https://t.co/JnaH94y7y1,1603834928.0,-1,0.0
"RT @DriveTeslaca: It’s all in the details. 

Tesla Model Y animations now show the wheels actually turning! Adds to the smooth door animati…",1603834927.0,-1,0.0
"RT @Stringbell27: @WR4NYGov Money printing machine.

This will become a major reason as to why Tesla will be the leader in Taas.

No one wi…",1603834923.0,-1,-0.296
From @tesla owners manual “ WARNING: In snowy or icy conditions Model S may experience traction loss during regener… https://t.co/pOC9fcfrI0,1603834919.0,-1,-0.6633
"RT @WR4NYGov: If I'm reading this right, Tesla will use Autobidder to make a profit. 

The homeowner pays a fixed rate and gets the same fi…",1603834918.0,1,0.4404
RT @kimpaquette: #FSDBeta slowing for a series of speed humps. #FSD #tesla #model3 https://t.co/2pYvhyUlyP,1603834909.0,-1,0.0
@shervin Why in the world would Tesla buy a losing business like Uber? That merger will make no sense unless it’s f… https://t.co/EtHiA9b06r,1603834907.0,1,-0.3182
"@john__rosevear @johnvoelcker @samabuelsamid Surprised that no one mentioned this comparison of trucks from Tesla,… https://t.co/SSVZ7naMTG",1603834905.0,-1,-0.0772
"RT @kimpaquette: Cobblestones so rough ride - but slowed for jaywalker, then slowed and got over for cyclist making illegal maneuver.  😎 #F…",1603834901.0,-1,-0.7096
Tesla ‘Short Shorts’ Get Unboxing Treatment [PICS] https://t.co/b5e1TjJVFV,1603834895.0,-1,0.0
RT @battery_news: https://t.co/2Aw6PpRFLy Found &gt; “Tesla Potential Nickel Deal for 4680 Battery Pushed BHP to Turn to Ren https://t.co/RBG5…,1603834887.0,-1,0.0
This is going to be an epic conversation about channel disruption - what could Tesla and roofers possibly have to d… https://t.co/fEG1gc7s0q,1603834885.0,-1,-0.3612
@MatchasmMatt @EVMaps @jpr007 @octopus_energy @Tesla @g__j Seen several messages about it today. Had call with inst… https://t.co/mJgngPJcHg,1603834875.0,1,0.0
RT @WhipLash347: What is in Wuhan? Link this all to the GCR/GESARA coming. Link this to QFS. (USA VS CH Y NA TECH WAR) BTC &amp; ETH vs XRP fam…,1603834867.0,1,0.0
@DunkenKBliths @texas_tesla_guy It did not see them the first day of testing.  It got better with either that .11 u… https://t.co/5mrq3azpT1,1603834867.0,1,0.4404
@Bobby_Corwin @JUNIUS_64 You mean the one made by Tesla? Yeahhhh...,1603834865.0,1,0.0
https://t.co/2Aw6PpRFLy Found &gt; “Tesla Potential Nickel Deal for 4680 Battery Pushed BHP to Turn to Ren https://t.co/RBG5Bn8t2w,1603834863.0,-1,0.0
"RT @DriveTeslaca: It’s all in the details. 

Tesla Model Y animations now show the wheels actually turning! Adds to the smooth door animati…",1603834861.0,-1,0.0
"@klwtts @Tesla @elonmusk That last one, may be just the angle of the light, though.",1603834848.0,1,0.0
"Tesla's ""Full Self Driving"" update was sent out to an unknown number of beta testers a few days ago, and videos sho… https://t.co/uBNLdmHp1b",1603834847.0,-1,0.0772
"RT @Steampunk_T: Tesla Gun developped by Tesla Universe
source : https://t.co/FS7Lbqwfmg https://t.co/5mNLALb1rx",1603834846.0,-1,-0.34
@Tesla #Tesla you may install in 4 days but we have been waiting almost two weeks for call back on repair.  Mulitpl… https://t.co/doPwTnWSZJ,1603834845.0,1,0.0
@PPathole @elonmusk @Tesla I'm really surprised no automaker has decided to subcontract their technology.  Why rein… https://t.co/ClUWhYbbst,1603834840.0,-1,-0.0735
"@klwtts @elonmusk @Tesla Like the new Aeros even better than the old ones!
(w/o the covers, of course)",1603834834.0,1,0.69
RT @evmom111: Hey! Anyone in or near South Carolina interested in a #Tesla #ModelS?! It's that beautiful (rare) forest green color 😍,1603834824.0,1,0.8011
"“Mark Cuban Rarely Picks Someone In  His Tesla— but When He Does, It’s Life-Changing” by @KarthRajan https://t.co/u9qAFfdx4m",1603834813.0,-1,0.0
"It’s all in the details. 

Tesla Model Y animations now show the wheels actually turning! Adds to the smooth door a… https://t.co/uZeEWI07BQ",1603834810.0,-1,0.0
@TeslaOwnersNBay @Tesla Very nice,1603834810.0,1,0.4754
@SnazzyQ That's a defect with the car. In China most teslas sold there were forced to be recalled by Chinese govern… https://t.co/kyTtji2AZt,1603834806.0,-1,-0.6597
RT @kimpaquette: Successful left hand turn - waiting for the garbage man. 😎 #FSDBeta #FSD #tesla #Model3 https://t.co/11E8MNxRVJ,1603834802.0,-1,0.7906
"@Porsche Use my referral link to receive 1,000 free Supercharger miles with the purchase and delivery of a new Tesl… https://t.co/K7mpOXHXoQ",1603834802.0,1,0.5106
"RT @PPathole: On this day in 2010, Tesla opened its first factory. Which was formerly a GM-Toyota factory, now Tesla is worth more than GM…",1603834799.0,1,0.2263
"RT @superchargefeed: #tesla #supercharger in Montrose, CO, USA has a permit application https://t.co/2AUOX1jQRv",1603834798.0,-1,0.0
@elonmusk Would be worth your super-brain mind space to help us put an end to the #Azerbaijan genocide attempt agai… https://t.co/uAW7qFpbny,1603834797.0,-1,0.5574
def an unpopular opinion but mike todd getting out of his Tesla every Sunday is so unnecessary &amp; weird to me 🤒,1603834796.0,1,-0.3497
"RT @PPathole: On this day in 2010, Tesla opened its first factory. Which was formerly a GM-Toyota factory, now Tesla is worth more than GM…",1603834796.0,1,0.2263
"#Tesla 'Full Self Driving' car on a public road 😬👇

https://t.co/K8rbYwBytf",1603834792.0,-1,0.0
@Benshooter ¯\_(ツ)_/¯ i hold my opinions pretty loosely...we'll just have to see. i'm optimistic.  and spacex obvio… https://t.co/7LrPlcWfTx,1603834785.0,1,0.6705
"RT @flcnhvy: Exactly 10 years ago today, Tesla opened its Fremont factory! GM &amp; Toyota had abandoned the former NUMMI plant, but Tesla brou…",1603834780.0,1,-0.3164
"RT @PPathole: On this day in 2010, Tesla opened its first factory. Which was formerly a GM-Toyota factory, now Tesla is worth more than GM…",1603834777.0,1,0.2263
"Throwback to this beautiful grey Tesla that I saw in 2019, it even has the rainbow roof!❤️ https://t.co/IN5ZMCttBe",1603834774.0,1,0.7284
RT @___yummii: Me trying to get rid of my anxiety &amp; overthinking.,1603834769.0,1,-0.1779
"@klwtts @Tesla @elonmusk The section before the barrel is smooth vs beveled edge.., or a step.",1603834767.0,1,0.0
"@alex_avoigt A third, just like for the Etron in H1. That's how 🥴Qdumdums🥴 inflates the sales of VW over Tesla.

No… https://t.co/L8aeMcUBve",1603834767.0,1,0.3612
"#tesla #supercharger in Entiat, WA, USA is under construction https://t.co/VQZCJBJ3fw",1603834766.0,-1,0.0
@carney Yes. That's why Tesla is scaling battery production to 3 terawatts.,1603834765.0,-1,0.4019
When will I get my Spanish tile..❤️ https://t.co/LeubhhLdbG https://t.co/AFjwg2m9ar,1603834763.0,-1,0.0
"RT @EVMaps: @jpr007 We moved on to it last week, the Tesla Energy Plan gives us a flat rate of £0.08/kWh, which in the UK is almost half th…",1603834761.0,1,0.2732
"RT @heydave7: It's underrated and under-appreciated how Tesla may be doing over-the-air updates in the background to FSD beta users, improv…",1603834746.0,1,0.0
"RT @mvollmer1: This is what #Tesla Autopilot sees using #neuralnetworks that take 70.000 GPU hours to train and output 1,000 tensors (predi…",1603834737.0,1,0.0
@teslaownersSV Driving all over town! Getting that data collected for Tesla!,1603834733.0,1,0.0
"Tesla is changing the energy market in the UK, many countries will follow. https://t.co/ktEobddQAD",1603834732.0,-1,0.2732
