text,timestamp,our_model,vader
"RT @TNR_Gold: Sandy Munro On #Tesla Battery Day: ""The Art Of War - Tesla Eradicates ICE Engines"". https://t.co/3RsFO95oD6 #rEVolution #Lith…",1603712706.0,-1,-0.5994
This video explains why the Tesla Semi truck has the potential to add billions of dollars in revenue to the truckin… https://t.co/0lnEovGgp8,1603712703.0,-1,0.0
"RT @ayushswrites: Peter Thiel’s list of 7 questions to evaluate startups - 

1) Tech
2) Timing
3) Monopoly 
4) Team
5) Distribution 
6) Moa…",1603712692.0,1,0.0
RT @TNR_Gold: #Lithium We have 50 years ahead #military planning on part of #China for The #NewEnergyPlan vs 20 Minutes Twitter attention s…,1603712691.0,1,0.0
Soimething is odd with Tesla's recent filings and it's not the numbers. https://t.co/UNgNmRBUdY,1603712690.0,-1,-0.3182
"RT @vincent13031925: Tesla Giga Shanghai To Export Approximately 7000 Model 3 To Europe From Tomorrow

$TSLA #Tesla #China 
https://t.co/gk…",1603712690.0,-1,0.0
"“Yes, our environment friendly food is electricity.” 
🔋🚗

Photo: Tesla Semi &amp; Sunrise (Googled) https://t.co/Ad5A8ta1Vv",1603712689.0,-1,0.4939
RT @EforElectric: The EV startup turned giant @Tesla and the giant @GM turned EV startup with Hummer EV launch are fighting for your attent…,1603712688.0,1,-0.3612
"RT @VedaPrime: Toscana pictured today at Shanghai  - https://t.co/MZNaTgu8kh

More on Export ceremony
https://t.co/dnBdRgtWtD https://t.co/…",1603712685.0,-1,0.0
"ALYONS: Volume 1 Third Rock
Astronomy Geology Biology &amp; Cups of Tea
Kids love science -some just don't know it yet!… https://t.co/805BYEfdeI",1603712683.0,1,0.6696
"RT @RT_com: #India plans to establish an EV charging network at an unprecedented scale 

https://t.co/peX7qcrOyP",1603712680.0,-1,0.0
"RT @vincent13031925: Tesla FSD Beta made a left turn with a bike on my right side 
@elonmusk https://t.co/pggLSeEcGj",1603712668.0,1,0.0
RT @kirillklip: #Tesla Battery Day announcements are making #TheSwitch on a truly massive scale possible and we are entering the era of mas…,1603712668.0,-1,0.4404
"RT @GretaMusk: 🚨 GET THESE DANGEROUS CARS OFF OUR STREETS @NHTSAgov @NTSB 🚨 
14 minutes in a ""Full Self Driving"" #Tesla beta test results i…",1603712665.0,1,-0.5904
RT @Kevin2600: My other toy is your Telsa -- Control Tesla Model3 through Undocumented API https://t.co/YkzT2zjR98,1603712664.0,-1,0.0
