text,timestamp,our_model,vader
"@brandonee916 This is your best video yet. If you curb a rim, I'd rather you let it happen so we can see when and i… https://t.co/MeZt3O1Ln3",1603678444.0,-1,0.6369
"@Joshohha @nickwhoward @matmansd @marc_benton You said the excuses people made for Tesla are insane, referring to N… https://t.co/z9ld1oj2jp",1603678439.0,-1,-0.4019
"RT @Fxhedgers: TESLA HAS STARTED TO RECALL 48,442 VEHICLES IN CHINA CITING DEFECTIVE PARTS - CHINA DAILY",1603678437.0,1,-0.5622
@kimpaquette @nuc_geek @elonmusk @arctechinc @Tesla That we know of.   There might be non-Twitter people who are testing FSD also.,1603678435.0,1,0.0
RT @copcrisis: Cop pulls someone over for driving Tesla https://t.co/tupgDJHfXD,1603678432.0,-1,0.0
@RcSboii @ThatKidWorld @DarkOriginW1 @SX_Falcon_5 @Saturn_Space_ @OCISLY_two_ASDS @rp1ujjwalwalker @SpaceflightSeb… https://t.co/1i78V54NWn,1603678426.0,-1,0.0
And pulled up to gate or parked itself? Could Tesla’s software make this future possible? Might make single pilot (… https://t.co/HKdNlRVLSO,1603678424.0,1,0.0
@Fraserjroi @robmahrt @Juliusharkonnen @danielbigham @ElectrekCo @CowboyDanPaasch @FredericLambert Tesla has no mic… https://t.co/IRcHJG7I2G,1603678411.0,-1,-0.296
"@TitusNation If my Tesla is plugged in, it automatically does that very thing...pre-conditions the battery to accep… https://t.co/B1zZNOIqtP",1603678408.0,-1,0.0
"RT @KeithNovick3: Is it me, or is it a standard GOP tactic to try to scare the shit out of people in order to get their vote.  Someone expl…",1603678408.0,1,0.2023
"RT @SVNewsAlerts: JUST IN: Tesla to recall whopping 48,442 vehicles in China—citing extremely significant defective parts.",1603678406.0,1,-0.2698
@6463dc @elonmusk Tesla’s paint quality is surprisingly good compared to other brands,1603678393.0,1,0.6249
@ChrisLiMRX3 @nickwhoward @matmansd @marc_benton Yes basic AP is  standard in all Tesla's. Why? Well Tesla has said… https://t.co/Q5yQHCRFtQ,1603678385.0,-1,0.5859
@Kristennetten @elonmusk I guess you should get paid UAT salary by Tesla!! Great review comments!!,1603678383.0,1,0.7405
Elon Musk the PhD dropout? His life before the billions - South China Morning Post https://t.co/24p47qHXO9,1603678383.0,-1,0.0
"@anasalhajji The difference is that Tesla never does recalls voluntarily, and the cars in the U.S. have the same su… https://t.co/M8N5cf4CYd",1603678379.0,-1,0.0
"@6463dc @elonmusk I don’t have PPF 
1 1/2 years and paint is still in amazing condition",1603678360.0,1,0.5859
"RT @SVNewsAlerts: JUST IN: Tesla to recall whopping 48,442 vehicles in China—citing extremely significant defective parts.",1603678358.0,1,-0.2698
RT @copcrisis: Cop pulls someone over for driving Tesla https://t.co/tupgDJHfXD,1603678357.0,-1,0.0
